productId,name,category,position,totalScore,organicScore,topBlocked,eligibility,topFactor,topFactorPoints
LAB1000-0316,Смарт-часы LAB-0316,Красота,36,62,59,false,ELIGIBLE,Фото,5.3
LAB1000-0376,Пылесос LAB-0376,Красота,37,62,62,false,ELIGIBLE,Фото,3.5
LAB1000-0381,Кроссовки LAB-0381,Инструменты,38,62,62,false,ELIGIBLE,Фото,6.2
LAB1000-0397,Дрель LAB-0397,Авто,39,62,59,false,ELIGIBLE,Фото,6.2
LAB1000-0426,Автомагнитола LAB-0426,Красота,40,62,62,false,ELIGIBLE,Доверие,4.7
LAB1000-0492,Мяч футбольный LAB-0492,Электроника,41,62,62,false,ELIGIBLE,Фото,4.8
LAB1000-0535,Конструктор LAB-0535,Спорт,42,62,62,false,ELIGIBLE,Фото,6.2
LAB1000-0570,Автомагнитола LAB-0570,Сад,43,62,62,false,ELIGIBLE,Фото,5.7
LAB1000-0612,Крем для лица LAB-0612,Электроника,44,62,62,false,ELIGIBLE,Фото,5.3
LAB1000-0651,Садовый шланг LAB-0651,Инструменты,45,62,62,true,ELIGIBLE,Фото,5.1
LAB1000-0744,Автомагнитола LAB-0744,Одежда,46,62,62,false,ELIGIBLE,Фото,4.8
LAB1000-0748,Куртка LAB-0748,Детские товары,47,62,59,false,ELIGIBLE,Фото,4.8
LAB1000-0800,Кофемашина LAB-0800,Сад,48,62,62,false,ELIGIBLE,Фото,4.8
LAB1000-0969,Оливковое масло LAB-0969,Продукты,49,62,62,false,ELIGIBLE,Фото,6.2
LAB1000-0003,Конструктор LAB-0003,Дом и сад,50,61,61,false,ELIGIBLE,Доверие,4.7
LAB1000-0131,Дрель LAB-0131,Инструменты,51,61,61,false,ELIGIBLE,Отзывы,3.7
LAB1000-0175,Пылесос LAB-0175,Спорт,52,61,61,true,ELIGIBLE,Фото,5.6
LAB1000-0196,Рюкзак LAB-0196,Красота,53,61,61,false,ELIGIBLE,Фото,5.3
LAB1000-0232,Пылесос LAB-0232,Электроника,54,61,61,true,ELIGIBLE,Фото,4.7
LAB1000-0268,Шуруповёрт LAB-0268,Детские товары,55,61,61,false,ELIGIBLE,Фото,5.4
LAB1000-0285,Рюкзак LAB-0285,Спорт,56,61,61,false,ELIGIBLE,Фото,3.9
LAB1000-0420,Автомагнитола LAB-0420,Сад,57,61,61,false,ELIGIBLE,Доверие,4.2
LAB1000-0501,Мяч футбольный LAB-0501,Инструменты,58,61,61,true,ELIGIBLE,Доверие,4.7
LAB1000-0548,Конструктор LAB-0548,Детские товары,59,61,61,false,ELIGIBLE,Фото,6.2
LAB1000-0601,Конструктор LAB-0601,Инструменты,60,61,61,false,ELIGIBLE,Доверие,4.4
LAB1000-0618,Дрель LAB-0618,Детские товары,61,61,61,false,ELIGIBLE,Фото,4.8
LAB1000-0813,Автомагнитола LAB-0813,Дом и сад,62,61,61,false,ELIGIBLE,Фото,4.8
LAB1000-0909,Кроссовки LAB-0909,Продукты,63,61,61,true,ELIGIBLE,Фото,3.8
LAB1000-0118,Автомагнитола LAB-0118,Детские товары,64,60.9,58,false,ELIGIBLE,Фото,5.7
LAB1000-0406,Смарт-часы LAB-0406,Красота,65,60.9,58,false,ELIGIBLE,Фото,5.7
LAB1000-0460,Куртка LAB-0460,Сад,66,60.9,58,false,ELIGIBLE,Фото,5.7
LAB1000-0739,Кофемашина LAB-0739,Продукты,67,60.9,58,false,ELIGIBLE,Фото,3.9
LAB1000-0928,Наушники LAB-0928,Детские товары,68,60.9,58,false,ELIGIBLE,CTR,-4.3
LAB1000-0955,Наушники LAB-0955,Спорт,69,60.9,58,false,ELIGIBLE,CTR,-6.1
LAB1000-0029,Конструктор LAB-0029,Продукты,70,60,60,false,ELIGIBLE,Фото,3.5
LAB1000-0040,Дрель LAB-0040,Сад,71,60,60,false,ELIGIBLE,CTR,-5.2
LAB1000-0041,Кофемашина LAB-0041,Инструменты,72,60,60,false,ELIGIBLE,Фото,5.3
LAB1000-0061,Кроссовки LAB-0061,Инструменты,73,60,60,false,ELIGIBLE,Фото,6.2
LAB1000-0144,Кроссовки LAB-0144,Одежда,74,60,60,false,ELIGIBLE,Отзывы,3.7
LAB1000-0174,Крем для лица LAB-0174,Одежда,75,60,60,true,ELIGIBLE,Доверие,3.7
LAB1000-0177,Кроссовки LAB-0177,Авто,76,60,60,false,ELIGIBLE,Фото,5.7
LAB1000-0181,Дрель LAB-0181,Инструменты,77,60,60,true,ELIGIBLE,Фото,5.1
LAB1000-0297,Дрель LAB-0297,Авто,78,60,60,false,ELIGIBLE,Фото,5.7
LAB1000-0333,Дрель LAB-0333,Дом и сад,79,60,60,false,ELIGIBLE,Фото,4.4
LAB1000-0398,Смарт-часы LAB-0398,Детские товары,80,60,60,false,ELIGIBLE,Фото,5.7
LAB1000-0421,Оливковое масло LAB-0421,Инструменты,81,60,60,false,ELIGIBLE,Фото,4.4
LAB1000-0444,Рюкзак LAB-0444,Одежда,82,60,60,false,ELIGIBLE,Фото,5.7
LAB1000-0450,Шуруповёрт LAB-0450,Сад,83,60,60,false,ELIGIBLE,Фото,6.2
LAB1000-0522,Куртка LAB-0522,Электроника,84,60,60,false,ELIGIBLE,Фото,4.8
LAB1000-0662,Кроссовки LAB-0662,Электроника,85,60,60,false,ELIGIBLE,Фото,4.4
LAB1000-0851,Смарт-часы LAB-0851,Инструменты,86,60,60,false,ELIGIBLE,Фото,5.3
LAB1000-0859,Дрель LAB-0859,Продукты,87,60,60,false,ELIGIBLE,Фото,5.3
LAB1000-0886,Смарт-часы LAB-0886,Красота,88,60,60,false,ELIGIBLE,Фото,5.3
LAB1000-0935,Пылесос LAB-0935,Спорт,89,60,60,false,ELIGIBLE,Фото,5.7
LAB1000-0217,Кофемашина LAB-0217,Авто,90,59.9,57,false,ELIGIBLE,CTR,-4.3
LAB1000-0280,Садовый шланг LAB-0280,Сад,91,59.9,57,false,ELIGIBLE,Фото,4.4
LAB1000-0604,Рюкзак LAB-0604,Одежда,92,59.9,57,false,ELIGIBLE,Фото,5.3
LAB1000-0667,Наушники LAB-0667,Авто,93,59.9,57,false,ELIGIBLE,CTR,-6.1
LAB1000-0018,Смарт-часы LAB-0018,Детские товары,94,59,59,false,ELIGIBLE,Фото,5.7
LAB1000-0027,Куртка LAB-0027,Авто,95,59,59,false,ELIGIBLE,Доверие,4.7
LAB1000-0038,Куртка LAB-0038,Детские товары,96,59,59,false,ELIGIBLE,Фото,5.9
LAB1000-0140,Куртка LAB-0140,Сад,97,59,59,false,ELIGIBLE,Фото,5.3
LAB1000-0183,Пылесос LAB-0183,Дом и сад,98,59,59,false,ELIGIBLE,CTR,-6.1
LAB1000-0206,Рюкзак LAB-0206,Красота,99,59,59,false,ELIGIBLE,Отзывы,3.7
LAB1000-0229,Куртка LAB-0229,Продукты,100,59,59,false,ELIGIBLE,Фото,5.7
LAB1000-0267,Куртка LAB-0267,Авто,101,59,59,false,ELIGIBLE,CTR,-6.1
LAB1000-0274,Крем для лица LAB-0274,Одежда,102,59,59,false,ELIGIBLE,Категория,2.8
LAB1000-0283,Куртка LAB-0283,Дом и сад,103,59,59,false,ELIGIBLE,CTR,-6.1
LAB1000-0375,Наушники LAB-0375,Спорт,104,59,59,false,ELIGIBLE,Фото,4.4
LAB1000-0447,Дрель LAB-0447,Авто,105,59,59,false,ELIGIBLE,Доверие,4.7
LAB1000-0470,Кроссовки LAB-0470,Сад,106,59,59,false,ELIGIBLE,Доверие,4.6
LAB1000-0500,Куртка LAB-0500,Сад,107,59,59,false,ELIGIBLE,Фото,3.9
LAB1000-0583,Садовый шланг LAB-0583,Дом и сад,108,59,59,false,ELIGIBLE,Фото,5.7
LAB1000-0685,Куртка LAB-0685,Спорт,109,59,59,true,ELIGIBLE,Отзывы,3.7
LAB1000-0777,Дрель LAB-0777,Авто,110,59,59,true,ELIGIBLE,CTR,-5.2
LAB1000-0844,Мяч футбольный LAB-0844,Одежда,111,59,59,false,ELIGIBLE,CTR,-4.3
LAB1000-0854,Пылесос LAB-0854,Одежда,112,59,59,false,ELIGIBLE,Фото,4.1
LAB1000-0860,Куртка LAB-0860,Сад,113,59,59,false,ELIGIBLE,Доверие,4.6
LAB1000-0904,Пылесос LAB-0904,Одежда,114,59,59,false,ELIGIBLE,Фото,3.9
LAB1000-0906,Садовый шланг LAB-0906,Красота,115,59,59,true,ELIGIBLE,Фото,5.6
LAB1000-0918,Автомагнитола LAB-0918,Детские товары,116,59,59,true,ELIGIBLE,CTR,-6.1
LAB1000-0613,Автомагнитола LAB-0613,Дом и сад,117,58.8,56,false,ELIGIBLE,Фото,5.3
LAB1000-0631,Мяч футбольный LAB-0631,Инструменты,118,58.8,56,false,ELIGIBLE,SEO,-4.3
LAB1000-0703,Шуруповёрт LAB-0703,Дом и сад,119,58.8,56,false,ELIGIBLE,Фото,3.5
LAB1000-0775,Мяч футбольный LAB-0775,Спорт,120,58.8,56,false,ELIGIBLE,Описание,-3.8
LAB1000-0820,Дрель LAB-0820,Сад,121,58.8,56,false,ELIGIBLE,Фото,5.3
LAB1000-0901,Кроссовки LAB-0901,Инструменты,122,58.8,56,false,ELIGIBLE,Фото,4.4
LAB1000-0964,Автомагнитола LAB-0964,Одежда,123,58.8,56,false,ELIGIBLE,CTR,-6.8
LAB1000-0042,Куртка LAB-0042,Электроника,124,58,58,false,ELIGIBLE,Фото,4.8
LAB1000-0066,Автомагнитола LAB-0066,Красота,125,58,58,false,ELIGIBLE,Доверие,4.2
LAB1000-0072,Наушники LAB-0072,Электроника,126,58,58,false,ELIGIBLE,CTR,-4.1
LAB1000-0091,Кроссовки LAB-0091,Инструменты,127,58,58,true,ELIGIBLE,CTR,-4
LAB1000-0108,Дрель LAB-0108,Детские товары,128,58,58,true,ELIGIBLE,Фото,4.2
LAB1000-0126,Кроссовки LAB-0126,Красота,129,58,58,false,ELIGIBLE,Фото,4.5
LAB1000-0142,Рюкзак LAB-0142,Электроника,130,58,58,false,ELIGIBLE,CTR,-6.1
LAB1000-0147,Шуруповёрт LAB-0147,Авто,131,58,58,false,ELIGIBLE,Доверие,4.7
LAB1000-0169,Конструктор LAB-0169,Продукты,132,58,58,false,ELIGIBLE,Фото,3.5
LAB1000-0194,Кофемашина LAB-0194,Одежда,133,58,58,false,ELIGIBLE,Фото,5.7
LAB1000-0231,Кроссовки LAB-0231,Инструменты,134,58,58,true,NOT_ELIGIBLE,Фото,4.8
LAB1000-0245,Оливковое масло LAB-0245,Спорт,135,58,58,false,ELIGIBLE,Фото,3.5
LAB1000-0264,Конструктор LAB-0264,Одежда,136,58,58,false,ELIGIBLE,CTR,-8.6
LAB1000-0269,Оливковое масло LAB-0269,Продукты,137,58,58,false,ELIGIBLE,Доверие,3.6
LAB1000-0281,Смарт-часы LAB-0281,Инструменты,138,58,58,false,ELIGIBLE,Фото,4.8
LAB1000-0284,Наушники LAB-0284,Одежда,139,58,58,false,ELIGIBLE,Фото,3.9
LAB1000-0293,Автомагнитола LAB-0293,Дом и сад,140,58,58,false,ELIGIBLE,Категория,2.8
LAB1000-0319,Кофемашина LAB-0319,Продукты,141,58,58,false,ELIGIBLE,SEO,-4.3
LAB1000-0327,Наушники LAB-0327,Авто,142,58,58,false,ELIGIBLE,CTR,-7.7
LAB1000-0332,Смарт-часы LAB-0332,Электроника,143,58,58,false,ELIGIBLE,Фото,6.2
LAB1000-0342,Крем для лица LAB-0342,Электроника,144,58,58,true,ELIGIBLE,Фото,4.7
LAB1000-0346,Наушники LAB-0346,Красота,145,58,58,true,NOT_ELIGIBLE,Фото,4.5
LAB1000-0425,Куртка LAB-0425,Спорт,146,58,58,true,ELIGIBLE,Отзывы,3.4
LAB1000-0456,Кроссовки LAB-0456,Красота,147,58,58,false,ELIGIBLE,CTR,-3.4
LAB1000-0457,Смарт-часы LAB-0457,Авто,148,58,58,false,ELIGIBLE,Фото,4.8
LAB1000-0476,Кофемашина LAB-0476,Красота,149,58,58,true,ELIGIBLE,Фото,4.7
LAB1000-0477,Кроссовки LAB-0477,Авто,150,58,58,false,ELIGIBLE,CTR,-6.1
LAB1000-0516,Оливковое масло LAB-0516,Красота,151,58,58,false,ELIGIBLE,CTR,-6.1
LAB1000-0519,Автомагнитола LAB-0519,Продукты,152,58,58,false,ELIGIBLE,CTR,-5.2
LAB1000-0538,Шуруповёрт LAB-0538,Детские товары,153,58,58,false,ELIGIBLE,Доверие,4.4
LAB1000-0569,Наушники LAB-0569,Продукты,154,58,58,false,ELIGIBLE,Фото,3.5
LAB1000-0571,Дрель LAB-0571,Инструменты,155,58,58,false,ELIGIBLE,CTR,-4.3
LAB1000-0582,Садовый шланг LAB-0582,Электроника,156,58,58,false,ELIGIBLE,CTR,-6.8
LAB1000-0614,Дрель LAB-0614,Одежда,157,58,58,true,ELIGIBLE,CTR,-3.4
LAB1000-0653,Пылесос LAB-0653,Дом и сад,158,58,58,false,ELIGIBLE,CTR,-8.6
LAB1000-0664,Мяч футбольный LAB-0664,Одежда,159,58,58,false,ELIGIBLE,Доверие,4
LAB1000-0683,Крем для лица LAB-0683,Дом и сад,160,58,58,false,ELIGIBLE,Доверие,4.1
LAB1000-0696,Садовый шланг LAB-0696,Красота,161,58,58,false,ELIGIBLE,Фото,5.4
LAB1000-0785,Наушники LAB-0785,Спорт,162,58,58,false,ELIGIBLE,Фото,5.3
LAB1000-0798,Кроссовки LAB-0798,Детские товары,163,58,58,false,ELIGIBLE,CTR,-6.8
LAB1000-0818,Шуруповёрт LAB-0818,Детские товары,164,58,58,false,ELIGIBLE,Фото,4.8
LAB1000-0825,Пылесос LAB-0825,Спорт,165,58,58,false,ELIGIBLE,Фото,5.3
LAB1000-0833,Крем для лица LAB-0833,Дом и сад,166,58,58,false,ELIGIBLE,Фото,4.4
LAB1000-0835,Конструктор LAB-0835,Спорт,167,58,58,false,ELIGIBLE,CTR,-6.1
LAB1000-0846,Рюкзак LAB-0846,Красота,168,58,58,true,ELIGIBLE,Фото,4.2
LAB1000-0856,Крем для лица LAB-0856,Красота,169,58,58,true,ELIGIBLE,Отзывы,3.7
LAB1000-0880,Шуруповёрт LAB-0880,Сад,170,58,58,false,ELIGIBLE,Фото,3
LAB1000-0881,Куртка LAB-0881,Инструменты,171,58,58,true,ELIGIBLE,Фото,3.8
LAB1000-0915,Автомагнитола LAB-0915,Спорт,172,58,58,false,ELIGIBLE,CTR,-6.1
LAB1000-0945,Пылесос LAB-0945,Спорт,173,58,58,false,ELIGIBLE,Отзывы,3.7
LAB1000-0951,Дрель LAB-0951,Инструменты,174,58,58,false,ELIGIBLE,Описание,-3.3
LAB1000-0199,Смарт-часы LAB-0199,Продукты,175,57.8,55,false,ELIGIBLE,Фото,6.2
LAB1000-0262,Рюкзак LAB-0262,Электроника,176,57.8,55,false,ELIGIBLE,CTR,-8.6
LAB1000-0370,Автомагнитола LAB-0370,Сад,177,57.8,55,false,ELIGIBLE,Фото,5.3
LAB1000-0424,Наушники LAB-0424,Одежда,178,57.8,55,false,ELIGIBLE,Фото,3.9
LAB1000-0532,Мяч футбольный LAB-0532,Электроника,179,57.8,55,false,ELIGIBLE,SEO,-4
LAB1000-0595,Садовый шланг LAB-0595,Спорт,180,57.8,55,false,ELIGIBLE,CTR,-6.1
LAB1000-0784,Дрель LAB-0784,Одежда,181,57.8,55,false,ELIGIBLE,SEO,-3.7
LAB1000-0802,Кофемашина LAB-0802,Электроника,182,57.8,55,false,ELIGIBLE,CTR,-5.2
LAB1000-0007,Автомагнитола LAB-0007,Авто,183,57,57,false,ELIGIBLE,Фото,4.8
LAB1000-0012,Куртка LAB-0012,Электроника,184,57,57,false,ELIGIBLE,CTR,-3.4
LAB1000-0013,Наушники LAB-0013,Дом и сад,185,57,57,false,ELIGIBLE,CTR,-5.2
LAB1000-0017,Автомагнитола LAB-0017,Авто,186,57,57,false,ELIGIBLE,Доверие,4.1
LAB1000-0022,Смарт-часы LAB-0022,Электроника,187,57,57,false,ELIGIBLE,CTR,-3.2
LAB1000-0025,Шуруповёрт LAB-0025,Спорт,188,57,57,false,ELIGIBLE,Фото,3.5
LAB1000-0068,Кроссовки LAB-0068,Детские товары,189,57,57,false,ELIGIBLE,Фото,5.7
LAB1000-0074,Крем для лица LAB-0074,Одежда,190,57,57,false,ELIGIBLE,CTR,-6.1
LAB1000-0084,Крем для лица LAB-0084,Одежда,191,57,57,false,ELIGIBLE,CTR,-7.7
LAB1000-0125,Мяч футбольный LAB-0125,Спорт,192,57,57,false,ELIGIBLE,Фото,3.9
LAB1000-0129,Крем для лица LAB-0129,Продукты,193,57,57,false,ELIGIBLE,Доверие,3.2
LAB1000-0133,Рюкзак LAB-0133,Дом и сад,194,57,57,false,ELIGIBLE,Доверие,4.4
LAB1000-0141,Куртка LAB-0141,Инструменты,195,57,57,false,ELIGIBLE,SEO,-3
LAB1000-0143,Шуруповёрт LAB-0143,Дом и сад,196,57,57,false,ELIGIBLE,CTR,-5.2
LAB1000-0155,Кофемашина LAB-0155,Спорт,197,57,57,false,ELIGIBLE,Категория,2.8
LAB1000-0163,Садовый шланг LAB-0163,Дом и сад,198,57,57,true,ELIGIBLE,Фото,5.1
LAB1000-0218,Мяч футбольный LAB-0218,Детские товары,199,57,57,false,ELIGIBLE,Фото,3
LAB1000-0220,Садовый шланг LAB-0220,Сад,200,57,57,false,ELIGIBLE,SEO,-4.3
LAB1000-0221,Оливковое масло LAB-0221,Инструменты,201,57,57,false,ELIGIBLE,SEO,-4.3
LAB1000-0233,Куртка LAB-0233,Дом и сад,202,57,57,false,ELIGIBLE,Фото,3.2
LAB1000-0243,Шуруповёрт LAB-0243,Дом и сад,203,57,57,false,ELIGIBLE,Фото,6.2
LAB1000-0246,Наушники LAB-0246,Красота,204,57,57,false,ELIGIBLE,CTR,-5.2
LAB1000-0248,Шуруповёрт LAB-0248,Детские товары,205,57,57,false,ELIGIBLE,Доверие,4.6
LAB1000-0279,Пылесос LAB-0279,Продукты,206,57,57,true,ELIGIBLE,Описание,-3.8
LAB1000-0282,Оливковое масло LAB-0282,Электроника,207,57,57,false,ELIGIBLE,Доверие,4.7
LAB1000-0286,Садовый шланг LAB-0286,Красота,208,57,57,false,ELIGIBLE,SEO,-3.7
LAB1000-0289,Дрель LAB-0289,Продукты,209,57,57,true,ELIGIBLE,CTR,-6.1
LAB1000-0299,Автомагнитола LAB-0299,Продукты,210,57,57,false,ELIGIBLE,CTR,-5.2
LAB1000-0304,Шуруповёрт LAB-0304,Одежда,211,57,57,false,ELIGIBLE,Фото,5.4
LAB1000-0318,Кроссовки LAB-0318,Детские товары,212,57,57,false,ELIGIBLE,Отзывы,3.7
LAB1000-0336,Кроссовки LAB-0336,Красота,213,57,57,false,ELIGIBLE,SEO,-4.3
LAB1000-0338,Крем для лица LAB-0338,Детские товары,214,57,57,false,ELIGIBLE,Доверие,3.6
LAB1000-0355,Оливковое масло LAB-0355,Спорт,215,57,57,false,ELIGIBLE,Фото,4.4
LAB1000-0411,Кроссовки LAB-0411,Инструменты,216,57,57,false,ELIGIBLE,CTR,-7.9
LAB1000-0441,Смарт-часы LAB-0441,Инструменты,217,57,57,false,ELIGIBLE,CTR,-6.1
LAB1000-0463,Рюкзак LAB-0463,Дом и сад,218,57,57,false,ELIGIBLE,CTR,-4.3
LAB1000-0506,Кроссовки LAB-0506,Красота,219,57,57,false,ELIGIBLE,Доверие,4.6
LAB1000-0533,Шуруповёрт LAB-0533,Дом и сад,220,57,57,true,ELIGIBLE,Фото,4.7
LAB1000-0555,Крем для лица LAB-0555,Спорт,221,57,57,true,ELIGIBLE,Фото,4.2
LAB1000-0573,Куртка LAB-0573,Дом и сад,222,57,57,true,ELIGIBLE,Фото,2.9
LAB1000-0589,Крем для лица LAB-0589,Продукты,223,57,57,false,ELIGIBLE,Фото,4.8
LAB1000-0606,Пылесос LAB-0606,Красота,224,57,57,false,ELIGIBLE,CTR,-8.6
LAB1000-0633,Конструктор LAB-0633,Дом и сад,225,57,57,false,ELIGIBLE,Фото,5.7
LAB1000-0642,Автомагнитола LAB-0642,Электроника,226,57,57,false,ELIGIBLE,Фото,6.2
LAB1000-0654,Оливковое масло LAB-0654,Одежда,227,57,57,false,ELIGIBLE,Фото,5
LAB1000-0658,Рюкзак LAB-0658,Детские товары,228,57,57,true,ELIGIBLE,Фото,4.7
LAB1000-0681,Наушники LAB-0681,Инструменты,229,57,57,false,ELIGIBLE,Фото,4.8
LAB1000-0692,Кофемашина LAB-0692,Электроника,230,57,57,false,ELIGIBLE,CTR,-5.9
LAB1000-0714,Садовый шланг LAB-0714,Одежда,231,57,57,true,NOT_ELIGIBLE,Фото,5.7
LAB1000-0727,Автомагнитола LAB-0727,Авто,232,57,57,false,ELIGIBLE,CTR,-7.7
LAB1000-0752,Крем для лица LAB-0752,Электроника,233,57,57,true,ELIGIBLE,CTR,-5.9
LAB1000-0786,Смарт-часы LAB-0786,Красота,234,57,57,false,ELIGIBLE,Категория,2.8
LAB1000-0794,Наушники LAB-0794,Одежда,235,57,57,false,ELIGIBLE,SEO,-4.3
LAB1000-0821,Куртка LAB-0821,Инструменты,236,57,57,false,ELIGIBLE,Отзывы,3.4
LAB1000-0840,Смарт-часы LAB-0840,Сад,237,57,57,false,ELIGIBLE,CTR,-7
LAB1000-0848,Пылесос LAB-0848,Детские товары,238,57,57,false,ELIGIBLE,Фото,6.2
LAB1000-0896,Кроссовки LAB-0896,Красота,239,57,57,false,ELIGIBLE,Фото,5.4
LAB1000-0899,Крем для лица LAB-0899,Продукты,240,57,57,false,ELIGIBLE,Фото,6.2
LAB1000-0929,Оливковое масло LAB-0929,Продукты,241,57,57,false,ELIGIBLE,Фото,5.7
LAB1000-0931,Мяч футбольный LAB-0931,Инструменты,242,57,57,false,ELIGIBLE,CTR,-7.7
LAB1000-0936,Кроссовки LAB-0936,Красота,243,57,57,false,ELIGIBLE,CTR,-6.1
LAB1000-0953,Кофемашина LAB-0953,Дом и сад,244,57,57,false,ELIGIBLE,Фото,5.7
LAB1000-0954,Оливковое масло LAB-0954,Одежда,245,57,57,false,ELIGIBLE,Конверсия,-3.4
LAB1000-0037,Крем для лица LAB-0037,Авто,246,56.7,54,false,ELIGIBLE,Фото,5
LAB1000-0235,Шуруповёрт LAB-0235,Спорт,247,56.7,54,false,ELIGIBLE,Фото,4.4
LAB1000-0343,Кофемашина LAB-0343,Дом и сад,248,56.7,54,false,ELIGIBLE,CTR,-5.2
LAB1000-0541,Конструктор LAB-0541,Инструменты,249,56.7,54,false,ELIGIBLE,Отзывы,3.4
LAB1000-0676,Рюкзак LAB-0676,Красота,250,56.7,54,false,ELIGIBLE,CTR,-4.7
LAB1000-0694,Пылесос LAB-0694,Одежда,251,56.7,54,false,ELIGIBLE,Категория,2.8
LAB1000-0811,Куртка LAB-0811,Инструменты,252,56.7,54,false,ELIGIBLE,CTR,-6.1
LAB1000-0847,Автомагнитола LAB-0847,Авто,253,56.7,54,false,ELIGIBLE,CTR,-6.8
LAB1000-0910,Кроссовки LAB-0910,Сад,254,56.7,54,false,ELIGIBLE,Доверие,4.4
LAB1000-0045,Шуруповёрт LAB-0045,Спорт,255,56,56,false,ELIGIBLE,CTR,-4.3
LAB1000-0052,Крем для лица LAB-0052,Электроника,256,56,56,false,ELIGIBLE,CTR,-7.7
LAB1000-0075,Оливковое масло LAB-0075,Спорт,257,56,56,true,ELIGIBLE,Фото,3.8
LAB1000-0095,Оливковое масло LAB-0095,Спорт,258,56,56,false,ELIGIBLE,Фото,3.9
LAB1000-0096,Оливковое масло LAB-0096,Красота,259,56,56,false,ELIGIBLE,SEO,-3
LAB1000-0099,Крем для лица LAB-0099,Продукты,260,56,56,false,ELIGIBLE,Категория,2.8
LAB1000-0101,Смарт-часы LAB-0101,Инструменты,261,56,56,false,ELIGIBLE,Описание,-3.3
LAB1000-0102,Куртка LAB-0102,Электроника,262,56,56,false,ELIGIBLE,CTR,-6.8
LAB1000-0107,Дрель LAB-0107,Авто,263,56,56,true,ELIGIBLE,CTR,-5.9
